time,close,Volume,%K,%D
1616544000,95.04,,,
1616630400,89.74,,,
1616716800,84.52,,,
1616803200,79.69,,,
1616889600,79.07,,,
1616976000,83.71,,,
1617062400,85.08,,,
1617148800,86.45,,,
1617235200,82.38,,,
1617321600,81.28,,,
1617408000,81.29,,,
1617494400,82.42,,,
1617580800,80.22,,,
1617667200,81.01,,,
1617753600,78.78,,,
1617840000,74.31,,,
1617926400,77.07,,,
1618012800,81.54,,,
1618099200,82.61,,,
1618185600,84.5,,,
1618272000,88.64,,,
1618358400,83.85,,,
1618444800,77.08,,,
1618531200,77.67,,,
1618617600,74.43,,,
1618704000,88.4,,,
1618790400,83.2,,,
1618876800,82.96,,,
1618963200,83,,,
1619049600,87.39,,,
1619136000,89.31,,,
1619222400,94.08,,,
1619308800,93.46,,,
1619395200,82.66,,,
1619481600,77.53,,,
1619568000,76.96,,,
1619654400,80.2,,,
1619740800,75.09,,,
1619827200,76.15,,,
1619913600,79.09,,,
1620000000,81.79,,,
1620086400,87.96,,,
1620172800,84.39,,,
1620259200,82.14,,,
1620345600,80.56,,,
1620432000,83.57,,,
1620518400,86.05,,,
1620604800,90.26,,,
1620691200,86.27,,,
1620777600,93.86,,,
1620864000,92.9,,,
1620950400,98.46,,,
1621036800,102.85,,,
1621123200,105.28,,,
1621209600,123.02,,,
1621296000,117.01,,,
1621382400,124.83,,,
1621468800,119.77,,,
1621555200,139.98,,,
1621641600,140.05,,,
1621728000,156.2,,,
1621814400,125.12,,,
1621900800,129.11,,,
1621987200,117.02,,,
1622073600,107.26,,,
1622160000,122.55,,,
1622246400,129.3,,,
1622332800,123.61,,,
1622419200,106.47,,,
1622505600,108.23,,,
1622592000,103.17,,,
1622678400,99.19,,,
1622764800,102.91,,,
1622851200,108.52,,,
1622937600,105.93,,,
1623024000,108.32,,,
1623110400,111.04,,,
1623196800,105.82,,,
1623283200,99.46,,,
1623369600,97.22,,,
1623456000,99.39,,,
1623542400,102.86,,,
1623628800,98.88,,,
1623715200,96.77,,,
1623801600,95.25,,,
1623888000,95.28,,,
1623974400,94.73,,,
1624060800,91.89,,,
1624147200,95.63,,,
1624233600,106.23,,,
1624320000,107.01,,,
1624406400,102.21,,,
1624492800,100.99,,,
1624579200,105.3,,,
1624665600,106.7,,,
1624752000,106.41,,,
1624838400,104.3,,,
1624924800,98.86,,,
1625011200,104.51,,,
1625097600,102.38,,,
1625184000,99.23,,,
1625270400,98.02,,,
1625356800,95.89,,,
1625443200,96.39,,,
1625529600,95.74,,,
1625616000,94.93,,,
1625702400,94.43,,,
1625788800,90.89,,,
1625875200,90.57,,,
1625961600,88.71,,,
1626048000,90.51,,,
1626134400,90.81,,,
1626220800,86.97,,,
1626307200,85.55,,,
1626393600,82.59,,,
1626480000,82.78,,,
1626566400,83.52,,,
1626652800,88.46,,,
1626739200,91.49,,,
1626825600,87.86,,,
1626912000,84.64,,,
1626998400,81.75,,,
1627084800,81.31,,,
1627171200,83.9,,,
1627257600,87.68,,,
1627344000,91.84,,,
1627430400,95.68,,,
1627516800,93.24,,,
1627603200,93.49,,,
1627689600,89.55,,,
1627776000,89.3,,,
1627862400,88.52,,,
1627948800,89.04,,,
1628035200,91.94,,,
1628121600,96.09,,,
1628208000,93.62,,,
1628294400,97.27,,,
1628380800,95.99,,,
1628467200,106.97,,,
1628553600,103.35,,,
1628640000,100.53,,,
1628726400,98.06,,,
1628812800,100.3,,,
1628899200,97.48,,,
1628985600,98.69,,,
1629072000,98.3,,,
1629158400,96.68,,,
1629244800,95.81,,,
1629331200,94.5,,,
1629417600,93.06,,,
1629504000,92.71,,,
1629590400,94.83,,,
1629676800,93.64,,,
1629763200,92.85,,,
1629849600,93.62,,,
1629936000,93.87,,,
1630022400,90.92,,,
1630108800,90.11,,,
1630195200,90.6,,,
1630281600,92.08,,,
1630368000,91.08,,,
1630454400,93.65,,,
1630540800,92.82,,,
1630627200,90.15,,,
1630713600,91.3,,,
1630800000,93.37,,,
1630886400,92.86,,,
1630972800,95.16,,,
1631059200,92.31,,,
1631145600,91.95,,,
1631232000,90.57,,,
1631318400,89.46,,,
1631404800,92.13,,,
1631491200,92.14,,,
1631577600,90.9,,,
1631664000,90.32,,,
1631750400,84.17,,,
1631836800,82.35,,,
1631923200,84.7,,,
1632009600,85.72,,,
1632096000,91.76,,,
1632182400,96.26,,,
1632268800,88.73,,,
1632355200,83.84,,,
1632441600,86.92,,,
1632528000,85.88,,,
1632614400,89.12,,,
1632700800,89.25,,,
1632787200,92.27,,,
1632873600,91.77,,,
1632960000,90.97,,,
1633046400,85.84,,,
1633132800,83.97,,,
1633219200,85.56,,,
1633305600,89.62,,,
1633392000,92.68,,,
1633478400,89.38,,,
1633564800,88.13,,,
1633651200,88.19,,,
1633737600,87.42,,,
1633824000,89.23,,,
1633910400,90.49,,,
1633996800,93.37,,,
1634083200,95,,,
1634169600,97.87,,,
1634256000,90.71,,,
1634342400,86.8,,,
1634428800,89.66,,,
1634515200,92.4,,,
1634601600,94.15,,,
1634688000,93.04,,,
1634774400,92.52,,,
1634860800,86.73,,,
1634947200,86.31,,,
1635033600,89.88,,,
1635120000,84.45,,,
1635206400,89.01,,,
1635292800,88.45,,,
1635379200,89.87,,,
1635465600,87.58,,,
1635552000,87.17,,,
1635638400,87.64,,,
1635724800,85.45,,,
1635811200,87.23,,,
1635897600,85.84,,,
1635984000,84.73,,,
1636070400,85.71,,,
1636156800,87.07,,,
1636243200,86.59,,,
1636329600,86.69,,,
1636416000,84.68,,,
1636502400,86.36,,,
1636588800,85.23,,,
1636675200,88.44,,,
1636761600,87.74,,,
1636848000,87.22,,,
1636934400,85.04,,,
1637020800,87.28,,,
1637107200,89.88,,,
1637193600,90.12,,,
1637280000,85.78,,,
1637366400,85.44,,,
1637452800,85.94,,,
1637539200,88.98,,,
1637625600,89.91,,,
1637712000,90.42,,,
1637798400,86.52,,,
1637884800,86.06,,,
1637971200,83.72,,,
1638057600,86.32,,,
1638144000,82.85,,,
1638230400,84.08,,,
1638316800,83.64,,,
1638403200,85.26,,,
1638489600,84.55,,,
1638576000,87.29,,,
1638662400,89.39,,,
1638748800,86.84,,,
1638835200,86,,,
1638921600,87.16,,,
1639008000,90.3,,,
1639094400,89.98,,,
1639180800,88.72,,,
1639267200,92.25,,,
1639353600,90.29,,,
1639440000,92.34,,,
1639526400,89.34,,,
1639612800,86.78,,,
1639699200,85.34,,,
1639785600,87.43,,,
1639872000,87.83,,,
1639958400,87.31,,,
1640044800,86.04,,,
1640131200,82.99,,,
1640217600,82.99,,,
1640304000,82.57,,,
1640390400,81.08,,,
1640476800,80.26,,,
1640563200,83.29,,,
1640649600,76.7,,,
1640736000,80.73,,,
1640822400,80.68,,,
1640908800,75.51,,,
1640995200,70.91,,,
1641081600,72.06,,,
1641168000,71.94,,,
1641254400,72.52,,,
1641340800,75.64,,,
1641427200,73.19,,,
1641513600,73.86,,,
1641600000,71.56,,,
1641686400,73.5,,,
1641772800,74.1,,,
1641859200,75.37,,,
1641945600,71.81,,,
1642032000,67.51,,,
1642118400,65.13,,,
1642204800,62.95,,,
1642291200,62.22,,,
1642377600,65.23,,,
1642464000,67.27,,,
1642550400,65.96,,,
1642636800,65.24,,,
1642723200,77.8,,,
1642809600,81,,,
1642896000,77.29,,,
1642982400,78.59,,,
1643068800,81.26,,,
1643155200,80.39,,,
1643241600,80.14,,,
1643328000,74.77,,,
1643414400,75.18,,,
1643500800,74.32,,,
1643587200,70.99,,,
1643673600,71.81,,,
1643760000,75,,,
1643846400,74.14,,,
1643932800,70.14,,,
1644019200,67.37,,,
1644105600,70.69,,,
1644192000,69.18,,,
1644278400,70.27,,,
1644364800,69.81,,,
1644451200,70.81,,,
1644537600,72.34,,,
1644624000,71.32,,,
1644710400,73.05,,,
1644796800,72.16,,,
1644883200,70.59,,,
1644969600,68.07,,,
1645056000,71.54,,,
1645142400,68.83,,,
1645228800,67.72,,,
1645315200,73.92,,,
1645401600,77.69,,,
1645488000,75.22,,,
1645574400,73.78,,,
1645660800,79.88,,,
1645747200,71.44,,,
1645833600,72.49,,,
1645920000,80.65,,,
1646006400,77.47,,,
1646092800,76.99,,,
1646179200,73.8,,,
1646265600,73.7,,,
1646352000,79.28,,,
1646438400,77.39,,,
1646524800,79.72,,,
1646611200,80.7,,,
1646697600,80.93,,,
1646784000,81.01,,,
1646870400,80.13,,,
1646956800,79.73,,,
1647043200,81.13,,,
1647129600,82.47,,,
1647216000,82.43,,,
1647302400,81.98,,,
1647388800,81.79,,,
1647475200,75.18,,,
1647561600,70.75,,,
1647648000,71.66,,,
1647734400,72.67,,,
1647820800,71.8,,,
1647907200,71.19,,,
1647993600,69.58,,9.380188157166575,
1648080000,65.47,,5.589374654122857,
1648166400,62.41,,2.767017155506364,5.9121933222652645
1648252800,66.62,,6.650064563733634,5.002152124454285
1648339200,68.62,,8.494742667404545,5.970608128881515
1648425600,63.04,,3.3480907581627024,6.164299329766961
1648512000,62.04,,2.425751706327248,4.756195043964832
1648598400,62.44,,2.7946873270614283,2.856176597183793
1648684800,64.11,,4.33499354362664,3.1851441923384383
1648771200,59.54,,0.6240249609984396,2.5845686105621692
1648857600,59.27,,0.37625034413141567,1.7784229495854982
1648944000,59.46,,0.550610259704507,0.5169618549447873
1649030400,60.55,,1.5508855648343558,0.8259153895567595
1649116800,62.89,,3.6982655776819313,1.9332538007402646
1649203200,66.06,,6.607323116454071,3.9521580863234527
1649289600,61.72,,2.6245755712581436,4.310054755131382
1649376000,62.2,,3.065063779021752,4.098987488911322
1649462400,59.74,,0.8075617142332775,2.165733688171058
1649548800,61.01,,3.6181539294414846,2.4969264742321715
1649635200,68.29,,10.186772534512322,4.8708293927290285
1649721600,65.21,,7.407741586213112,7.07088935005564
1649808000,63.61,,5.964089145538211,7.852867755421215
1649894400,62.14,,4.6377334656681395,6.003188065806488
1649980800,60.41,,3.0767842641883933,4.559535625131582
1650067200,61.05,,3.6542452404583567,3.7895876567716305
1650153600,63.58,,5.937020662275555,4.222683388974102
1650240000,63.46,,5.82874672922494,5.140004210652951
1650326400,62.46,,4.926463953803123,5.564077115101206
1650412800,62.19,,4.682847604439229,5.146019429155764
1650499200,63.49,,5.855815212487595,5.155042256909983
1650585600,61.12,,3.7174050347378844,4.752022617221571
1650672000,61.35,,3.9249300730849055,4.499383440103462
1650758400,62.62,,5.07082919787061,4.237721435231133
1650844800,65.56,,7.7235405576107565,5.573099942855424
1650931200,66.83,,8.86943968239646,7.221269812625942
1651017600,65.08,,7.29044482540828,7.961141688471833
1651104000,63.02,,5.431742308039342,7.197208938614693
1651190400,60.54,,3.1940810249932317,5.305422719480284
1651276800,62.21,,4.7008932599476685,4.442238864326747
1651363200,62.46,,4.926463953803123,4.273812746248008
1651449600,62.41,,4.881349815032028,4.83623567626094
1651536000,64.88,,7.109988270323915,5.6392673463863545
1651622400,60.59,,3.2391951637643266,5.076844416373423
1651708800,63.13,,5.530993413335741,5.29339228247466
1651795200,62.22,,4.709916087701885,4.49336822160065
1651881600,64.85,,7.082919787061259,5.774609762699629
1651968000,68.59,,10.457457367138865,7.416764413967336
1652054400,84.75,,25.038347017955424,14.192908057385182
1652140800,81.64,,22.232247586393573,19.24268399049595
1652227200,101.35,,40.01624108995758,29.09561189810219
1652313600,114.53,,51.908328070017134,38.05227224878943
1652400000,99.62,,38.455291888477845,43.45995368281752
1652486400,93.5,,32.933321302896324,41.09898042046377
1652572800,92.32,,31.868627627898572,34.41908027309091
1652659200,96.36,,35.51385004060272,33.438599657132535
1652745600,91.46,,31.09266444103581,32.8250473698457
1652832000,100.48,,39.231255075340606,35.279256518993044
1652918400,91.1,,30.76784264188396,33.69725405275346
1653004800,88.56,,28.47604439231255,32.8250473698457
1653091200,84.12,,24.469908869439685,27.904598634545394
1653177600,82.41,,22.927005323468368,25.29098619507353
1653264000,82.53,,25.735887096774196,24.377600429894077
1653350400,82.26,,30.53305934969178,26.398650589978107
1653436800,82.57,,30.907772271243797,29.058906239236588
1653523200,81.53,,29.65067085700472,30.363834159313427
1653609600,84.71,,33.4945001813127,31.35098110318707
1653696000,80.9,,28.889157500302197,30.678109512873206
1653782400,81.21,,29.26387042185422,30.549176034489705
1653868800,75.38,,22.21684999395624,26.789959305370886
1653955200,73.04,,19.388371811918297,23.62303074257625
1654041600,74.75,,21.45533663725372,21.02018614770942
1654128000,73.42,,19.8476973286595,20.230468592610503
1654214400,71.3,,17.285144445787502,19.52939280390024
1654300800,70.97,,16.886256497038563,18.006366090495188
1654387200,72.03,,18.167532938474558,17.446311293766872
1654473600,68.52,,13.92481566541762,16.326201700310246
1654560000,71.48,,17.50271969055966,16.531689431483944
1654646400,71.7,,17.76864498972562,16.398726781900965
1654732800,72.57,,18.820258672791002,18.030541117692092
1654819200,72.55,,18.796083645594102,18.461662436036907
1654905600,75.04,,21.805874531608858,19.807405616664653
1654992000,93.74,,44.40952496071558,28.337161045972845
1655078400,105.99,,59.216729118820254,41.81070953704823
1655164800,103.08,,55.6992626616705,53.10850558040212
1655251200,89.16,,37.82639378969653,50.91412852339576
1655337600,119.63,,73.66501999529521,55.73022548222075
1655424000,108.68,,60.785697482945196,57.42570375597899
1655510400,115.13,,68.3721477299459,67.6076217360621
1655596800,109.99,,62.3265114090802,63.828118873990434
1655683200,99.22,,49.65890378734415,60.119187642123414
1655769600,97.94,,48.15337567631145,53.3795969575786
1655856000,99.76,,50.29404845918608,49.36877597428056
1655942400,91.46,,40.53163961420841,46.326354583235315
1656028800,90.65,,39.578922606445545,43.46820355994668
1656115200,86.66,,34.885909197835794,38.33215713949659
1656201600,90.26,,39.120207010115266,37.86167960479887
1656288000,89.09,,37.74406022112444,37.250058809691836
1656374400,87.51,,35.885673959068455,37.58331373010273
1656460800,91.38,,40.43754410726887,38.0224260958206
1656547200,94.13,,43.67207715831568,39.99843174155101
1656633600,92.94,,42.27240649258997,42.12734258605818
1656720000,92.2,,41.4020230533992,42.44883556810162
1656806400,92.14,,41.33145142319454,41.668626989727905
1656892800,86.99,,35.27405316396141,39.33584254685172
1656979200,86.1,,34.22724064925899,36.944248412138315
1657065600,82.24,,29.68713243942601,33.06280875088214
1657152000,81.35,,28.640319924723585,30.851564337802866
1657238400,78.29,,25.04116678428605,27.789539716145217
1657324800,73.54,,19.454246059750652,24.378577589586765
1657411200,75.85,,22.17125382262996,22.222222222222225
1657497600,80.54,,27.687602916960717,23.104367599780446
1657584000,85.84,,33.92143025170548,27.926762330432055
1657670400,80.89,,28.099270759821216,29.902767976162476
1657756800,81.36,,28.652081863091034,30.224260958205914
1657843200,78.68,,25.499882380616334,27.41707833450953
1657929600,81.97,,29.369560103505055,27.840508115737478
1658016000,81.28,,28.557986356151492,27.809142946757632
1658102400,83.35,,30.992707598212178,29.640084685956243
1658188800,82.89,,30.451658433309806,30.000784129224495
1658275200,84.01,,31.76899553046342,31.071120520661808
1658361600,82.38,,29.851799576570208,30.690817846781147
1658448000,84.27,,32.07480592801693,31.231867011683523
1658534400,80.46,,27.593507410021164,29.840037638202773
1658620800,83.15,,30.757468830863328,30.14192738963381
1658707200,81.36,,28.652081863091034,29.001019367991848
1658793600,81.43,,28.734415431663145,29.381322041872508
1658880000,76.49,,22.92401787814631,26.770171724300166
1658966400,76.89,,23.394495412844034,25.017642907551163
1659052800,75.04,,21.218536814867097,22.512350035285817
1659139200,78.55,,25.34697718183956,23.320003136516902
1659225600,78.65,,25.464596565514,24.010036854073558
1659312000,77.67,,24.311926605504585,25.04116678428605
1659398400,77.81,,24.476593742648785,24.75103897122246
1659484800,75.88,,22.20653963773229,23.66501999529523
1659571200,73.65,,19.58362738179252,22.08892025405787
1659657600,71.86,,17.478240414020227,19.75613581118169
1659744000,71.7,,17.290049400141143,18.11730573198464
1659830400,73.6,,19.524817689955295,18.09770250137223
1659916800,75.16,,21.359680075276398,19.391515721790952
1660003200,74.67,,20.783345095271702,20.555947620167803
1660089600,70.92,,16.372618207480592,19.505214459342906
1660176000,71.49,,17.043048694424833,18.066337332392383
1660262400,70.25,,15.584568336861913,16.333411746255788
1660348800,70.61,,16.00799811808986,16.211871716458873
1660435200,70.87,,16.31380851564338,15.968791656865056
1660521600,70.21,,15.537520583392133,15.953109072375128
1660608000,71.53,,17.09009644789461,16.313808515643377
1660694400,75.31,,21.53610915078805,18.054575394024933
1660780800,74.82,,20.959774170783334,19.86199325648867
1660867200,81.25,,28.52270054104916,23.672861287540186
1660953600,77.7,,24.34721242060692,24.609895710813145
1661040000,79.02,,25.899788285109377,26.256567082255156
1661126400,80.35,,27.46412608797929,25.903708931231865
1661212800,77.77,,24.429545989179008,25.93115345408923
1661299200,75.59,,21.865443425076457,24.58637183407826
1661385600,73.84,,19.80710421077394,22.03403120834314
1661472000,72.65,,18.407433545048228,20.026660393632884
1661558400,73.05,,18.87791107974594,19.03081627852271
1661644800,76.18,,22.559397788755593,19.948247471183265
1661731200,73.2,,19.054340155257588,20.16388300791972
1661817600,75.77,,22.07715831569042,21.230298753234546
1661904000,75.05,,21.23029875323453,20.78726574139419
1661990400,77.84,,24.51187955775112,22.606445542225362
1662076800,74.65,,20.759821218536818,22.167333176507498
1662163200,78.18,,24.911785462244186,23.39449541284405
1662249600,76.01,,22.35944483650906,22.67701717243003
1662336000,76.88,,23.382733474476584,23.551321257743286
1662422400,81.38,,28.675605739825915,24.805928016937198
1662508800,76.13,,22.500588096918364,24.852975770406967
1662595200,75.72,,22.018348623853207,24.398180820199173
1662681600,75.15,,21.347918136908966,21.955618285893525
1662768000,78.15,,24.876499647141852,22.74758880263469
1662854400,78.93,,25.793930839802407,24.006116207951084
1662940800,79.15,,26.052693483886145,25.57437465694348
1663027200,81.08,,28.32274758880263,26.723123970830404
1663113600,78.2,,24.935309338979067,26.436916803889293
1663200000,76.05,,22.40649258997882,25.22151650592019
1663286400,70.6,,15.99623617972241,21.112679369560112
1663372800,69.13,,14.267231239708297,17.556653336469854
1663459200,74.93,,21.089155492825224,17.11754097075199
1663545600,70.25,,15.584568336861913,16.980318356465155
1663632000,75.84,,22.15949188426253,19.61107190464989
1663718400,76.72,,23.194542460597503,20.31286756057398
1663804800,74.82,,20.959774170783334,22.104602838547788
1663891200,74.24,,20.277581745471647,21.477299458950828
1663977600,73.21,,19.06610209362502,20.101152669959998
1664064000,75.86,,22.18301576099741,20.508899866698027
1664150400,76.7,,23.17101858386262,21.473378812828347
1664236800,76.88,,23.382733474476584,22.91225593977887
1664323200,79.41,,26.358503881439653,24.304085313259616
1664409600,77.52,,24.135497529992936,24.625578295303058
1664496000,74.07,,20.077628793225113,23.5238767348859
1664582400,72.26,,17.948717948717952,20.720614757312
1664668800,76.46,,22.888732063043978,20.305026268329012
1664755200,70.08,,15.38461538461538,18.7406884654591
1664841600,69.87,,15.137614678899086,17.80365404218615
1664928000,71.17,,16.666666666666668,15.72963224339371
1665014400,68.73,,13.79675370501059,15.200345016858781
1665100800,66,,10.585744530698658,13.68305496745864
1665187200,64.85,,9.233121618442711,11.205206618050655
1665273600,67.51,,12.36179722418255,10.726887791107975
1665360000,68.97,,14.079040225829216,11.891319689484826
1665446400,70.6,,15.99623617972241,14.145691209911393
1665532800,70.19,,15.513996706657252,15.196424370736295
1665619200,66.12,,10.726887791107979,14.079040225829216
1665705600,62.08,,5.975064690661018,10.738649729475418
1665792000,62.67,,6.669019054340157,7.79032384536972
1665878400,63.23,,7.3276876029169555,6.657257115972713
1665964800,60.01,,3.5403434486003262,5.845683368619149
1666051200,62.27,,6.198541519642441,5.688857523719911
1666137600,60.89,,4.575394024935309,4.771426331059362
1666224000,61.44,,5.222300635144668,5.332078726574143
1666310400,62.2,,6.116207951070338,5.304634203716776
1666396800,62.14,,6.045636320865678,5.794714969026899
1666483200,64.09,,8.339214302517059,6.833686191484362
1666569600,64.31,,8.597976946600802,7.66094252332785
1666656000,65.58,,10.09174311926605,9.009644789461307
1666742400,66.29,,10.92684074335451,9.872186936407124
1666828800,61.42,,5.198776758409787,8.739120207010119
1666915200,55.08,,0.5831903945111468,5.569602632091818
1667001600,57.8,,3.693539165237274,3.1585021060527354
1667088000,60.36,,6.620926243567751,3.632551934438723
1667174400,59.62,,5.774728416237846,5.363064608347623
1667260800,59.92,,6.117781589479703,6.171145416428433
1667347200,56.45,,2.1497998856489446,4.680769963788831
1667433600,53.98,,1.123090745732255,3.1302240736202998
1667520000,54.18,,1.347708894878709,1.5401998420866354
1667606400,55.9,,3.279424977538186,1.91674153938305
1667692800,56.76,,4.245283018867925,2.95747229709494
1667779200,59.48,,7.300089847259657,4.941599281221922
1667865600,76.67,,26.606019766397125,12.717130877508234
1667952000,114.8,,69.429469901168,34.44519317160826
1668038400,93.09,,45.04716981132075,47.02755315962863
1668124800,102.18,,55.25606469002695,56.577568134171905
1668211200,102.92,,56.08715184186882,52.130128781072166
1668297600,107.89,,61.668912848158115,57.6707097933513
1668384000,98.17,,50.75247079964061,56.16951182988918
1668470400,90.02,,41.59928122192272,51.340221623240474
1668556800,98.64,,51.28032345013476,47.877358490566024
1668643200,76.97,,26.942946990116795,39.940850554058095
1668729600,74.71,,24.404761904761894,34.20934411500448
1668816000,72.37,,21.776729559748432,24.37481281820904
1668902400,80.26,,30.637915543575925,25.606469002695416
1668988800,80.81,,31.25561545372866,27.890086852351004
1669075200,79.72,,30.031446540880495,30.64165917939503
1669161600,75.27,,25.033692722371963,28.773584905660375
1669248000,72.21,,21.59703504043126,25.554058101227906
1669334400,64.87,,13.353548966756518,19.99475890985325
1669420800,65.48,,14.038634321653195,16.32973944294699
1669507200,67.12,,15.880503144654092,14.42422881102127
1669593600,67.45,,16.251123090745736,15.390086852351011
1669680000,64.81,,13.28616352201258,15.139263252470807
1669766400,64.06,,12.443845462713389,13.993710691823907
1669852800,60.04,,7.929020664869722,11.219676549865234
1669939200,58.75,,6.480233602875114,8.951033243486078
1670025600,61.16,,9.186882300089845,7.865378855944893
1670112000,61.82,,9.928122192273138,8.531746031746032
1670198400,56,,3.3917340521114134,7.502246181491465
1670284800,56.74,,4.222821203953284,5.847559149445945
1670371200,61.82,,9.928122192273138,5.847559149445945
1670457600,55.71,,3.0660377358490605,5.738993710691827
1670544000,58.7,,6.424079065588504,6.472746331236901
1670630400,59.53,,7.356244384546275,5.61545372866128
1670716800,61.8,,9.905660377358489,7.895327942497757
1670803200,61.15,,9.175651392632526,8.812518718179097
1670889600,60.66,,8.625336927223717,9.235549565738244
1670976000,55.18,,2.470799640610964,6.757262653489069
1671062400,57.74,,5.515695067264575,5.537277211699752
1671148800,63.35,,11.814818966483577,6.60043789145304
1671235200,62.28,,10.615401860777938,9.315305298175364
1671321600,66.47,,15.312184732653284,12.580801853304934
1671408000,64.11,,12.666741396704401,12.864775996711876
1671494400,60.1,,8.17172962672346,12.050218585360383
1671580800,59.11,,7.061988566304223,9.300153196577362
1671667200,56.16,,3.7551843963681133,6.329634196465265
1671753600,53.67,,0.9640174868288302,3.9270634831670552
1671840000,52.35,,0.1670006680026704,1.6287341837332052
1671926400,53.68,,1.6477399242930268,0.9262526930415097
1672012800,53.23,,1.1467379202850077,0.9871595041935688
1672099200,54.05,,2.0596749053662817,1.6180509166481059
1672185600,57.19,,5.555555555555549,2.9206561270689466
1672272000,54.58,,2.6497439323090575,3.4216581310769634
1672358400,49.83,,1.4221556886227524,3.209151725495787
1672444800,48.31,,0.7204152982307443,1.5974383063875184
1672531200,46.96,,0.2727654217373038,0.8051121361969341
1672617600,50.01,,4.375389731864478,1.7895234839441752
1672704000,48.95,,3.2737476616088186,2.6406342717368667
1672790400,46.87,,4.907055766540072,4.185397720004456
1672876800,45.46,,3.497901259244453,3.892901562464448
1672963200,43.61,,1.6490105936438122,3.351322539809446
1673049600,42.01,,0.477659468603838,1.8748571071640345
1673136000,42.74,,1.2040999104388503,1.110256657562167
1673222400,44.06,,2.517663449099414,1.3998076093807013
1673308800,45.47,,3.9207881381231937,2.5475171658871534
1673395200,47.49,,5.930938401831028,4.123129996351213
1673481600,51.42,,9.841775301024978,6.564500613659734
1673568000,61.11,,19.484525823465017,11.75241317544034
1673654400,73.69,,32.00318439645735,20.44316184031578
1673740800,70.19,,28.52025077122101,26.669320330381126
1673827200,64.92,,23.275947855508008,27.933127674395454
1673913600,63.36,,21.723554582545525,24.506584403091512
1674000000,63.33,,21.69370086575778,22.231067767937105
1674086400,56.92,,15.314956712110657,19.57740405347132
1674172800,59.48,,17.862473877997804,18.29037715195541
1674259200,65.77,,24.121803164493972,19.099744584867477
1674345600,61.99,,20.36023484923873,20.78150396391017
1674432000,64.39,,22.748532192257933,22.410190068663542
1674518400,61.33,,19.703453079908446,20.937406707135036
1674604800,61.51,,19.882575380634886,20.778186884267086
1674691200,57.03,,15.42442034033237,18.336816266958564
1674777600,55,,13.404318837695293,16.237104852887516
1674864000,54.49,,12.89680565230371,13.90851494344379
1674950400,58.92,,17.305204497959995,14.53544299598633
1675036800,56.4,,14.797492287789826,14.999834146017841
1675123200,58.82,,17.205692108667527,16.436129631472447
1675209600,58.03,,16.41954423325704,16.140909543238127
1675296000,57.71,,16.101104587521146,16.575446976481903
1675382400,54.26,,12.667927156931034,15.062858659236404
1675468800,54.17,,12.578366006567817,13.782465917006663
1675555200,55.23,,13.633197333067962,12.95983016552227
1675641600,54.56,,12.966464324808438,13.059342554814739
1675728000,53.31,,11.7225594586526,12.774073705509664
1675814400,52.99,,11.404119812916708,12.031047865459248
1675900800,51.96,,10.379142203204298,11.168607158257865
1675987200,48.68,,7.115135834411382,9.632799283510794
1676073600,47.14,,5.582645039307393,7.69230769230769
1676160000,47.47,,5.911035923972531,6.202938932563767
1676246400,50.64,,9.065578664543734,6.853086542607884
